T_cells	CD8_T_cells	Cytotoxic_lymphocytes	B_lineage	NK_cells	Monocytic_lineage	Myeloid_dendritic_cells	Neutrophils	Endothelial_cells	Fibroblasts
TCGA-50-5051-01A	1.80404795389838	1.48290632306665	0.950111589163252	2.84974207822667	0.21619331005472	2.62897596678103	3.40019103813239	2.97750209394507	3.09079919453507	5.62203626743546
TCGA-64-1681-01A	2.22448345753838	0.982785113056624	0.722826294241398	2.56811033920815	0.163420742936338	3.61351743544727	4.83741765721152	2.34765699044777	3.63479820422217	6.28262534831816
TCGA-78-7161-01A	1.36400809795265	1.13232228861247	1.10845307583882	0.950313069903526	0.252740116537547	3.08058480304501	1.43770959685736	3.17450801159389	3.65477572101403	6.47248108553502
TCGA-05-4426-01A	2.14624455458223	1.61964875480879	1.14443410169747	1.42216876363956	0.216300989951572	3.44079141595948	2.50889275351882	2.70291373620816	2.81641465027842	5.97554447039404
TCGA-50-5049-01A	3.92914195598473	5.1522681680024	2.27662097600933	3.95721775630002	0.610784935124493	5.07303728807253	3.88474937354627	1.79429293587804	3.49639123689795	7.65132176760919
TCGA-44-8120-01A	2.42038695974383	1.54772680068971	1.11705018410101	2.70168451249598	0.250218814000317	4.11354974635248	4.15403332077594	3.03383349832728	4.18880971490742	7.7804885408997
TCGA-86-7713-01A	1.93301937841477	1.58433014954753	0.89348499166051	1.5185472435015	0.535703477022138	3.73065703993717	1.34789770892389	2.85972491903245	3.48552602122958	5.37083971988074
TCGA-67-3773-01A	2.76743195020765	3.1041512120704	1.67786112023425	1.64431162718752	0.524795624779939	3.86330428719033	4.35703468367303	2.68067335841724	3.1692273034266	5.71067003111448
TCGA-44-A479-01A	3.69046389605241	3.22641329437616	2.61135381343444	3.86237461873209	1.54105296502551	4.80692912262222	2.63204357070624	2.34480478714864	2.88028099377287	7.05543974152606
TCGA-50-8460-01A	2.82061450872822	2.39695619811992	1.33784989662478	3.1739820218205	0.214178580090347	3.18827281820278	4.48053082895994	2.41223699647728	3.56363789270926	6.04512135336037
TCGA-05-4422-01A	2.96120393242441	4.14349369604465	2.22503346223695	3.01953245759846	0.690577161851583	4.2372141445015	3.19993906004839	2.40597224994999	2.59747278762716	4.25075215184977
TCGA-05-4390-01A	2.03705298368472	2.98000482200473	0.597165994624987	2.22602505035444	0.422592101846885	3.40388209689116	1.27260636961463	2.79415515667271	2.96064760780119	6.95780937429553
TCGA-91-6830-01A	2.90344301160525	3.04354538651567	2.13720900172098	2.66255718524787	1.10390095535638	4.77852209594492	2.27469986015012	3.79903319672595	4.67570540962695	7.14305930595831
TCGA-50-5068-01A	3.14374186235706	4.11070096076119	1.89536156984449	3.30790269325582	0.512443096083137	3.99111755488579	5.73113804565834	2.26254093433013	2.43827824124963	5.6805519094494
TCGA-44-7669-01A	2.67801281394402	2.57087271638133	2.24409129420311	2.76773640546123	0.615057894489864	4.56270739670669	2.28695631720863	2.87645018571459	4.073587060011	6.31987343140551
TCGA-50-5066-01A	2.88744334242197	5.05320781808586	2.01815915784086	2.89490423644857	0.572731353037626	4.30279686258816	2.6529995962596	1.76363310358925	2.4984185210697	6.85537950358554
